,frame_0,frame_30,frame_60,frame_90,frame_120,frame_150,frame_180,frame_210,frame_240,frame_270
blue_top_port,"['T1', 'Canna']","['T1', 'Canna']","['T1', 'Canna']","['T1', 'Canna', '99', '2']","['T1', 'Canna']","['T1', 'Canna']","['T1', 'Canna']","['T1', 'Canna']","['T1', 'Canna']","['TI', 'Canna', '995']"
blue_jug_port,"['TI', 'Cuzz']","['T1', 'Cuzz']","['T1', 'Cuzz']","['T1', 'Cuz']","['T1', 'Cuz']","['T1', 'Cuzz']","['T1', 'Cuzz']","['T1', 'Cuzz']","['T1', 'Cuz']","['TI', 'Cuzz']"
blue_mid_port,"['T1', 'Faker']","['T1', 'Faker']","['T1', 'Faker']","['TL', 'Faker']","['TL', 'Faker']","['T1', 'Faker']","['T1', 'Faker']","['T1', 'Faker']","['T1', 'Faker']","['T1', 'Faker']"
blue_bot_port,"['T1', 'Teddy']","['T1', 'Teddy']","['T1', 'Teddy']","['T1', 'Teddy', 'S', '11']","['T1', 'Teddy', '2']","['T1', 'Teddy']","['T1', 'Teddy']","['T1', 'Teddy']","['T1', 'Teddy']","['T1', 'Teddy']"
blue_sup_port,"['T1', 'Effort']","['T1', 'Effort']","['T1', 'Effort']","['T1', 'Effort']","['T1', 'Effort']","['T1', 'Effort']","['T1', 'Effort']","['TI', 'Effort']","['T1', 'Effort']","['T1', 'Effort']"
red_top_port,"['GEN', 'Rascal', '1', '999']","['GEN', 'Rascal', '1', '999']","['GEN', 'Rascal', '1', '999']","['GEN', 'Rascal', '1', '999']","['GEN', 'Rascal', '2', '999']","['3', '99']","['GEN', 'Rascal', '3', '99']","['GEN', 'Rascal', '4', '99']","['GEN', 'Rascal', '4', '99']","['GEN', 'Rascal', '5', '99']"
red_jug_port,"['GEN', 'Clid']","['GEN', 'Clid']","['GEN', 'Clid']","['GEN', 'Clid']","['GEN', 'Clid', '2']","['GEN', 'Clid', '3']","['GEN', 'Clid', '3']","['GEN', 'Clid']","['GEN', 'Clid']","['GEN', 'Clid']"
red_mid_port,"['GEN', 'Bdd', '1', '993']","['GEN', 'Bdd']","['GEN', 'Bdd']","['GEN', 'Bdd', '12', '99']","['GEN', 'Bdd', '13', '99']","['GEN', 'Bdd', '13', '999']","['GEN', 'Bdd', '14', '999']","['GEN', 'Bdd', '14', '99']","['GEN', 'Bdd', '15', '993']","['GEN', 'Bdd', '15', '999']"
red_bot_port,"['GEN', 'Ruler', '1:', '993']","['GEN', 'Ruler', '1', '99']","['GEN', 'Ruler']","['GEN', 'Ruler', 'é–€', '95', ':']","['GEN', 'Ruler', '12', '99']","['GEN', 'Ruler', '13', '993']","['GEN', 'Ruler', '13', '99']","['GEN', 'Ruler', '4', '99']","['GEN', 'Ruler', '14', '999']","['GEN', 'Ruler', '14', '993']"
red_sup_port,"['GEN', 'Life']","['GEN', 'Life']","['GEN', 'Life']","['GEN', 'Life']","['GEN', 'Life']","['GEN', 'Life', '12']","['GEN', 'Life']","['GEN', 'Life']","['GEN', 'Life', '13', '9']","['GEN', 'Life', '13']"
blue_teamgold,"['2,5k']","['2,5k']",['2.6k'],"['3,4k']","['4,2k']",['5.2k'],"['5,8k']","['6,4k']","['7,4k']","['8,2k']"
red_teamgold,"['2,5k']","['2,5k']",['2.6k'],['3.2k'],"['4,0k']","['4,9k']","['5,6k']","['6,6k']",['7.1k'],['7.9k']
blue_killscore,[],[],[],[],[],[],[],[],[],[]
red_killscore,['0'],[],[],[],[],[],[],[],[],['0']
timestamp,['00:52'],['01:22'],['01:52'],['02:22'],['02:52'],['03:22'],['03:52'],['04:22'],['04:52'],['05:22']
notice,"['T1', 'Cappa']",[],"['ULIV', 'IAMIEI']",[],[],[],"['-', '----', 'TI', 'Canna']","['+63', '0', 'GEN', 'Life', '--', '---']","['GEN', 'RU']",[]
blue_top_kda,['0/0/0'],['0/0/0'],[],[],['3'],[],[],['0/0/0'],['0/0/0'],['0/0/0']
blue_jug_kda,['0/0/0'],['0/0/0'],[],[],[],[],[],['0/0/0'],['0/0/0'],['0/0/0']
blue_mid_kda,['0/0/0'],['0/0/0'],[],[],['8'],[],[],['0/0/0'],['0/0/0'],['0/0/0']
blue_bot_kda,['0/0/0'],['0/0/0'],[],[],[],[],[],['0/0/0'],['0/0/0'],['0/0/0']
blue_sup_kda,['0/0/0'],['0/0/0'],[],[],[],[],[],['0/0/0'],['0/0/0'],['0/0/0']
blue_top_cs,[],[],[],[],[],[],[],['26'],['34'],['35']
blue_jug_cs,[],[],[],[],[],[],[],['27'],['32'],['39']
blue_mid_cs,[],[],[],[],[],[],[],['29'],['36'],['43']
blue_bot_cs,[],[],[],[],[],[],[],['21'],['29'],['39']
blue_sup_cs,[],[],[],[],[],[],[],['2'],['2'],['2']
red_top_kda,['0/0/0'],['0/0/0'],[],['Z'],['5'],[],[],['0/0/0'],['0/0/0'],['0/0/0']
red_jug_kda,['0/0/0'],['0/0/0'],[],[],['8'],[],[],['0/0/0'],['0/0/0'],['0/0/0']
red_mid_kda,['0/0/0'],['0/0/0'],[],[],['1'],[],[],['0/0/0'],['0/0/0'],['0/0/0']
red_bot_kda,['0/0/0'],['0/0/0'],[],[],[],[],[],['0/0/0'],['0/0/0'],['0/0/0']
red_sup_kda,['0/0/0'],['0/0/0'],[],[],[],[],[],['0/0/0'],['0/0/0'],['0/0/0']
red_top_cs,[],[],[],[],[],[],[],['25'],['29'],['38']
red_jug_cs,[],[],[],[],[],[],[],['24'],['24'],['30']
red_mid_cs,[],[],[],[],[],[],[],['31'],['36'],['41']
red_bot_cs,[],[],[],[],[],[],[],['30'],['34'],['34']
red_sup_cs,[],[],[],[],[],[],[],[],['5'],['5']
